CODE,CODE_ORIG,CODE_DESCRIPTION
T24439A,T24.439A,"Corrosion of unspecified degree of unspecified lower leg, initial encounter"
A040,A04.0,Enteropathogenic Escherichia coli infection
A047,A04.7,Enterocolitis due to Clostridium difficile
A0471,A04.71,"Enterocolitis due to Clostridium difficile, recurrent"
A0472,A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent"
A048,A04.8,Other specified bacterial intestinal infections
A059,A05.9,"Bacterial foodborne intoxication, unspecified"
A0811,A08.11,Acute gastroenteropathy due to Norwalk agent
A0839,A08.39,Other viral enteritis
A084,A08.4,"Viral intestinal infection, unspecified"
A088,A08.8,Other specified intestinal infections
A09,A09,"Infectious gastroenteritis and colitis, unspecified"
A150,A15.0,Tuberculosis of lung
A159,A15.9,Respiratory tuberculosis unspecified
A1839,A18.39,Retroperitoneal tuberculosis
A389,A38.9,"Scarlet fever, uncomplicated"
A4152,A41.52,Sepsis due to Pseudomonas
A4189,A41.89,Other specified sepsis
A419,A41.9,"Sepsis, unspecified organism"
A46,A46,Erysipelas
A483,A48.3,Toxic shock syndrome
A488,A48.8,Other specified bacterial diseases
A4901,A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A4902,A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site"
A491,A49.1,"Streptococcal infection, unspecified site"
A498,A49.8,Other bacterial infections of unspecified site
A499,A49.9,"Bacterial infection, unspecified"
A539,A53.9,"Syphilis, unspecified"
A545,A54.5,Gonococcal pharyngitis
A546,A54.6,Gonococcal infection of anus and rectum
A549,A54.9,"Gonococcal infection, unspecified"
T502X5A,T50.2X5A,"Adverse effect of carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, initial encounter"
T508X5A,T50.8X5A,"Adverse effect of diagnostic agents, initial encounter"
T508X5D,T50.8X5D,"Adverse effect of diagnostic agents, subsequent encounter"
T50901A,T50.901A,"Poisoning by unspecified drugs, medicaments and biological substances, accidental (unintentional), initial encounter"
T50902A,T50.902A,"Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter"
T50904A,T50.904A,"Poisoning by unspecified drugs, medicaments and biological substances, undetermined, initial encounter"
T50905A,T50.905A,"Adverse effect of unspecified drugs, medicaments and biological substances, initial encounter"
T50905D,T50.905D,"Adverse effect of unspecified drugs, medicaments and biological substances, subsequent encounter"
T50905S,T50.905S,"Adverse effect of unspecified drugs, medicaments and biological substances, sequela"
T50912A,T50.912A,"Poisoning by multiple unspecified drugs, medicaments and biological substances, intentional self-harm, initial encounter"
T50992A,T50.992A,"Poisoning by other drugs, medicaments and biological substances, intentional self-harm, initial encounter"
T50995A,T50.995A,"Adverse effect of other drugs, medicaments and biological substances, initial encounter"
T50995D,T50.995D,"Adverse effect of other drugs, medicaments and biological substances, subsequent encounter"
T50995S,T50.995S,"Adverse effect of other drugs, medicaments and biological substances, sequela"
T50B95A,T50.B95A,"Adverse effect of other viral vaccines, initial encounter"
T50Z95A,T50.Z95A,"Adverse effect of other vaccines and biological substances, initial encounter"
T5194XA,T51.94XA,"Toxic effect of unspecified alcohol, undetermined, initial encounter"
T5491XA,T54.91XA,"Toxic effect of unspecified corrosive substance, accidental (unintentional), initial encounter"
X12XXXA,X12.XXXA,"Contact with other hot fluids, initial encounter"
X158XXA,X15.8XXA,"Contact with other hot household appliances, initial encounter"
X32XXXA,X32.XXXA,"Exposure to sunlight, initial encounter"
X32XXXD,X32.XXXD,"Exposure to sunlight, subsequent encounter"
X500XXA,X50.0XXA,"Overexertion from strenuous movement or load, initial encounter"
X501XXA,X50.1XXA,"Overexertion from prolonged static or awkward postures, initial encounter"
X509XXA,X50.9XXA,"Other and unspecified overexertion or strenuous movements or postures, initial encounter"
X58XXXA,X58.XXXA,"Exposure to other specified factors, initial encounter"
Y33XXXD,Y33.XXXD,"Other specified events, undetermined intent, subsequent encounter"
Y838,Y83.8,"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y839,Y83.9,"Surgical procedure, unspecified as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y846,Y84.6,"Urinary catheterization as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y908,Y90.8,Blood alcohol level of 240 mg/100 ml or more
Y92009,Y92.009,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92018,Y92.018,Other place in single-family (private) house as the place of occurrence of the external cause
Y92019,Y92.019,Unspecified place in single-family (private) house as the place of occurrence of the external cause
Y92038,Y92.038,Other place in apartment as the place of occurrence of the external cause
