NDC,CUI_L1_NAME,BRAND_GENERIC,CUI_L2_NAME_ARRAY,INGREDIENT_NAME_ARRAY,BRANDED_INGREDIENT_NAME_ARRAY,PKG_STRENGTH,PKG_QTY,STRENGTH_MG,DFG_NAME_ARRAY,DF_NAME_ARRAY,PIN_NAME_ARRAY,ALL_INGREDIENTS
00904386575,sodium chloride 6.5 mg/ml nasal spray [deep sea],brand,"[
  ""sodium chloride 6.5 mg/ml [deep sea]""
]","[
  ""sodium chloride""
]","[
  ""Deep Sea""
]",6.5 MG/ML,,6.5,"[
  ""Inhalant Product"",
  ""Nasal Product""
]","[
  ""Deep Sea Inhalant Product"",
  ""Deep Sea Nasal Product""
]","[
  ""sodium chloride, (22)Na"",
  ""sodium chloride dihyrdate""
]",sodium chloride || Deep Sea
00904404073,aspirin 81 mg chewable tablet,generic,"[
  ""aspirin 81 mg""
]","[
  ""aspirin""
]",[],81 MG,,81.0,"[
  ""Oral Product"",
  ""Pill"",
  ""Chewable Product""
]","[
  ""aspirin Oral Product"",
  ""aspirin Pill"",
  ""aspirin Chewable Product""
]","[
  ""acetylsalicylate sodium""
]",aspirin
00904421813,vitamin b12 0.25 mg oral tablet,generic,"[
  ""vitamin b12 0.25 mg""
]","[
  ""vitamin B12""
]",[],0.25 MG,,0.3,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""vitamin B12 Oral Product"",
  ""vitamin B12 Pill""
]",,vitamin B12
00904506860,simethicone 80 mg chewable tablet [mi-acid gas relief],brand,"[
  ""simethicone 80 mg [mi-acid gas relief]""
]","[
  ""simethicone""
]","[
  ""Mi-Acid Gas Relief""
]",80 MG,,80.0,"[
  ""Oral Product"",
  ""Pill"",
  ""Chewable Product""
]","[
  ""Mi-Acid Gas Relief Oral Product"",
  ""Mi-Acid Gas Relief Pill"",
  ""Mi-Acid Gas Relief Chewable Product""
]","[
  ""dimethicone 410""
]",simethicone || Mi-Acid Gas Relief
00904512559,pseudoephedrine hydrochloride 60 mg oral tablet [sudogest],brand,"[
  ""pseudoephedrine hydrochloride 60 mg [sudogest]""
]","[
  ""pseudoephedrine""
]","[
  ""Sudogest""
]",60 MG,,60.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Sudogest Oral Product"",
  ""Sudogest Pill""
]","[
  ""pseudoephedrine tannate"",
  ""pseudoephedrine polistirex"",
  ""pseudoephedrine hydrochloride"",
  ""pseudoephedrine sulfate""
]",pseudoephedrine || Sudogest
00904515460,guaifenesin 200 mg oral tablet,generic,"[
  ""guaifenesin 200 mg""
]","[
  ""guaifenesin""
]",[],200 MG,,200.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""guaifenesin Oral Product"",
  ""guaifenesin Pill""
]","[
  ""guaifenesin.beta.-isomer""
]",guaifenesin
00904516838,mineral oil 0.15 mg/mg / petrolatum 0.83 mg/mg ophthalmic ointment [lubrifresh p.m.],brand,"[
  ""mineral oil 0.15 mg/mg / petrolatum 0.83 mg/mg [lubrifresh p.m.]"",
  ""mineral oil 0.15 mg/mg / petrolatum 0.83 mg/mg [lubrifresh p.m.]""
]","[
  ""mineral oil"",
  ""petrolatum""
]","[
  ""Lubrifresh P.M.""
]",0.15 MG/MG / 0.83 MG/MG,,0.2,"[
  ""Ophthalmic Product""
]","[
  ""Lubrifresh P.M. Ophthalmic Product""
]",,mineral oil || petrolatum || Lubrifresh P.M.
00904517416,diphenhydramine hydrochloride 2.5 mg/ml oral solution [banophen],brand,"[
  ""diphenhydramine hydrochloride 2.5 mg/ml [banophen]""
]","[
  ""diphenhydramine""
]","[
  ""Banophen""
]",2.5 MG/ML,,2.5,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""Banophen Oral Liquid Product"",
  ""Banophen Oral Product""
]","[
  ""diphenhydramine hydrochloride"",
  ""diphenhydramine diacefyllinate"",
  ""diphenhydramine tannate"",
  ""diphenhydramine citrate""
]",diphenhydramine || Banophen
00904529352,glucosamine sulfate 500 mg oral capsule,generic,"[
  ""glucosamine sulfate 500 mg""
]","[
  ""glucosamine""
]",[],500 MG,,500.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""glucosamine Oral Product"",
  ""glucosamine Pill""
]","[
  ""glucosamine sulfate potassium chloride"",
  ""glucosamine hydrochloride"",
  ""glucosamine sulfate""
]",glucosamine
00904530660,diphenhydramine hydrochloride 25 mg oral capsule,generic,"[
  ""diphenhydramine hydrochloride 25 mg""
]","[
  ""diphenhydramine""
]",[],25 MG,,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""diphenhydramine Oral Product"",
  ""diphenhydramine Pill""
]","[
  ""diphenhydramine hydrochloride"",
  ""diphenhydramine diacefyllinate"",
  ""diphenhydramine tannate"",
  ""diphenhydramine citrate""
]",diphenhydramine
