PROVIDER_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,CREDENTIAL_TYPE,SPECIALTY1,SPECIALTY2
1649217498,Paul,G,Curcillo,MD,"Surgery, General",
1649204892,Daniel,John,Legault,MD,Nephrology/Renal Medicine,
1649286105,Shital,Mahendra,Patel,MD,Infectious Diseases,Internal Medicine
1649219270,Mohammed,Talal,Alhammouri,MD,Critical Care,Internal Medicine
1649296641,Karen,Angela,Tong,MD,"Radiology, Diagnostic",
1649222142,Terence,Owen,Lillis,MD,Family Practice,
1649221912,Matthew,R,Nelson,PA-C,Physician Assistant,
1649236191,Simon,Chin,Oh,MD,Neurology,
1649286469,Michael,Robert,Paradise,MD,"Radiology, Diagnostic",
1649258286,Dmitry,,Khasak,MD,Dermatology,
1649299090,Kevin,Duncan,Cooper,MD,Dermatology,
1649204520,Steven,Frederick,Stanowicz,MD,Dermatology,
1649266313,Aldo,Anthony,Ciccotelli,MD,Family Practice,
1649205758,Angela,Karen,Mayorga May,MD,Psychiatry,Internal Medicine
1649236894,Nicholas,William,Hamel,MD,Obstetrics & Gynecology,
1649207077,Richard,Keith,Heppe,MD,Urology,
1649223561,Annu,A,Terkonda,MD,Emergency Medicine,Internal Medicine
1649268236,Steven,Michael,Hammerman,MD,"Surgery, General","Surgery, Orthopedic"
1649256009,Brad,Franklin,Irby,CRNA,Certified Registered Nurse Anesthetist,Advanced Practice Nurse
1649252545,Shyam,Narendra,Brahmabhatt,,"Surgery, Orthopedic",
1649213141,Derek,Joseph,Timmermann,MD,Emergency Medicine,
1649235193,Alfred,,Serna,MD,"Surgery, Orthopedic",
1649212978,Antonio,Rafael,Rivera,MD,Nephrology/Renal Medicine,Internal Medicine
1649207036,Paul,Alogsius,Hellstern,MD,Gastroenterology,Internal Medicine
1649252990,Andrew,Peter,Kant,MD,"Surgery, Orthopedic",
1649273533,Jonathan,Jay,Seidlin,MD,Urology,
1649253444,Samuel,Disston,Allen,MD,Ophthalmology,
1649257163,Gregory,Paul,Jackson,MD,"Radiology, Diagnostic",
1649232810,Dianne,Margaret,Cooper,MD,Rheumatology,Internal Medicine
1649269879,Rathnakar,M,Sherigar,MD,"Radiology, Diagnostic",
